, , by 
, , by 
, , by 
, , by 
, , by 
123123, 123123, by 2023-09-25
123123, 123123, by 2023-09-25
123123123123123, 123123123123, by 2023-09-18
123123123, 123123123, by 2023-09-18
test the time zones issue, how long is this?, by 2023-09-04
Fix task priortisation display, It's shit, by 2023-09-04
Fix the complete all button, it doesn't work, by 2023-09-04
Add subtask hover effect, you can't read it otherwise, by 2023-09-04
Restyle the task view, it's messy, by 2023-09-04
Utilise dynamic partial rendering, so it's a smoother interface, by 2023-09-04
